Data,Status da inscrição,Visualizações intencionais
2025-03-22,Não inscrito,0
2025-03-23,Não inscrito,0
2025-03-24,Não inscrito,0
2025-03-25,Não inscrito,0
2025-03-26,Não inscrito,0
2025-03-27,Não inscrito,0
2025-03-28,Não inscrito,0
2025-03-29,Não inscrito,0
2025-03-30,Não inscrito,0
2025-03-31,Não inscrito,0
2025-04-01,Não inscrito,0
2025-04-02,Não inscrito,0
2025-04-03,Não inscrito,0
2025-04-04,Não inscrito,0
2025-04-05,Não inscrito,0
2025-04-06,Não inscrito,0
2025-04-07,Não inscrito,0
2025-04-08,Não inscrito,0
2025-04-09,Não inscrito,0
2025-04-10,Não inscrito,0
2025-04-11,Não inscrito,0
2025-04-12,Não inscrito,0
2025-04-13,Não inscrito,0
2025-04-14,Não inscrito,0
2025-04-15,Não inscrito,0
2025-04-16,Não inscrito,0
2025-04-17,Não inscrito,0
2025-04-18,Não inscrito,0
2025-04-19,Não inscrito,0
2025-04-20,Não inscrito,0
2025-04-21,Não inscrito,0
2025-04-22,Não inscrito,0
2025-04-23,Não inscrito,0
2025-04-24,Não inscrito,0
2025-04-25,Não inscrito,0
2025-04-26,Não inscrito,0
2025-04-27,Não inscrito,0
2025-04-28,Não inscrito,0
2025-04-29,Não inscrito,0
2025-04-30,Não inscrito,0
2025-05-01,Não inscrito,0
2025-05-02,Não inscrito,0
2025-05-03,Não inscrito,0
2025-05-04,Não inscrito,0
2025-05-05,Não inscrito,0
2025-05-06,Não inscrito,0
2025-05-07,Não inscrito,0
2025-05-08,Não inscrito,0
2025-05-09,Não inscrito,0
2025-05-10,Não inscrito,0
2025-05-11,Não inscrito,0
2025-05-12,Não inscrito,0
2025-05-13,Não inscrito,1
2025-05-14,Não inscrito,0
2025-05-15,Não inscrito,0
2025-05-16,Não inscrito,0
2025-05-17,Não inscrito,0
2025-05-18,Não inscrito,0
2025-05-19,Não inscrito,0
2025-05-20,Não inscrito,0
2025-05-21,Não inscrito,0
2025-05-22,Não inscrito,0
2025-05-23,Não inscrito,0
2025-05-24,Não inscrito,0
2025-05-25,Não inscrito,0
2025-05-26,Não inscrito,1
2025-05-27,Não inscrito,0
2025-05-28,Não inscrito,0
2025-05-29,Não inscrito,0
2025-05-30,Não inscrito,0
2025-05-31,Não inscrito,0
2025-06-01,Não inscrito,0
2025-06-02,Não inscrito,0
2025-06-03,Não inscrito,0
2025-06-04,Não inscrito,0
2025-06-05,Não inscrito,0
2025-06-06,Não inscrito,0
2025-06-07,Não inscrito,0
2025-06-08,Não inscrito,0
2025-06-09,Não inscrito,0
2025-06-10,Não inscrito,0
2025-06-11,Não inscrito,0
2025-06-12,Não inscrito,0
2025-06-13,Não inscrito,0
2025-06-14,Não inscrito,0
2025-06-15,Não inscrito,0
2025-06-16,Não inscrito,0
2025-06-17,Não inscrito,0
2025-06-18,Não inscrito,0
2025-06-19,Não inscrito,0
2025-06-20,Não inscrito,0
2025-06-21,Não inscrito,0
2025-06-22,Não inscrito,0
2025-06-23,Não inscrito,0
2025-06-24,Não inscrito,0
2025-06-25,Não inscrito,1
2025-06-26,Não inscrito,0
2025-06-27,Não inscrito,0
2025-06-28,Não inscrito,0
2025-06-29,Não inscrito,0
2025-06-30,Não inscrito,0
2025-07-01,Não inscrito,0
2025-07-02,Não inscrito,0
2025-07-03,Não inscrito,0
2025-07-04,Não inscrito,0
2025-07-05,Não inscrito,0
2025-07-06,Não inscrito,0
2025-07-07,Não inscrito,0
2025-07-08,Não inscrito,0
2025-07-09,Não inscrito,3
2025-07-10,Não inscrito,0
2025-07-11,Não inscrito,0
2025-07-12,Não inscrito,0
2025-07-13,Não inscrito,0
2025-07-14,Não inscrito,0
2025-07-15,Não inscrito,0
2025-07-16,Não inscrito,0
2025-07-17,Não inscrito,0
2025-07-18,Não inscrito,0
2025-07-19,Não inscrito,0
2025-07-20,Não inscrito,0
2025-07-21,Não inscrito,0
2025-07-22,Não inscrito,0
2025-07-23,Não inscrito,0
2025-07-24,Não inscrito,0
2025-07-25,Não inscrito,0
2025-07-26,Não inscrito,0
2025-07-27,Não inscrito,0
2025-07-28,Não inscrito,0
2025-07-29,Não inscrito,0
2025-07-30,Não inscrito,0
2025-07-31,Não inscrito,0
2025-08-01,Não inscrito,0
2025-08-02,Não inscrito,0
2025-08-03,Não inscrito,0
2025-08-04,Não inscrito,0
2025-08-05,Não inscrito,0
2025-08-06,Não inscrito,0
2025-08-07,Não inscrito,0
2025-08-08,Não inscrito,0
2025-08-09,Não inscrito,0
2025-08-10,Não inscrito,0
2025-08-11,Não inscrito,0
2025-08-12,Não inscrito,0
2025-08-13,Não inscrito,0
2025-08-14,Não inscrito,0
2025-08-15,Não inscrito,0
2025-08-16,Não inscrito,0
2025-08-17,Não inscrito,0
2025-08-18,Não inscrito,0
2025-08-19,Não inscrito,0
2025-08-20,Não inscrito,0
2025-08-21,Não inscrito,0
2025-08-22,Não inscrito,0
2025-08-23,Não inscrito,0
2025-08-24,Não inscrito,0
2025-08-25,Não inscrito,0
2025-08-26,Não inscrito,0
2025-08-27,Não inscrito,0
2025-08-28,Não inscrito,0
2025-08-29,Não inscrito,0
2025-08-30,Não inscrito,0
2025-08-31,Não inscrito,0
2025-09-01,Não inscrito,0
2025-09-02,Não inscrito,0
2025-09-03,Não inscrito,0
2025-09-04,Não inscrito,0
2025-09-05,Não inscrito,0
2025-09-06,Não inscrito,0
2025-09-07,Não inscrito,0
2025-09-08,Não inscrito,0
2025-09-09,Não inscrito,0
2025-09-10,Não inscrito,0
2025-09-11,Não inscrito,0
2025-09-12,Não inscrito,0
2025-09-13,Não inscrito,0
2025-09-14,Não inscrito,0
2025-09-15,Não inscrito,0
2025-09-16,Não inscrito,0
2025-09-17,Não inscrito,0
2025-09-18,Não inscrito,0
2025-09-19,Não inscrito,0
2025-09-20,Não inscrito,0
2025-09-21,Não inscrito,0
2025-09-22,Não inscrito,0
2025-09-23,Não inscrito,0
2025-09-24,Não inscrito,0
2025-09-25,Não inscrito,0
2025-09-26,Não inscrito,0
2025-09-27,Não inscrito,0
2025-09-28,Não inscrito,0
2025-09-29,Não inscrito,0
2025-09-30,Não inscrito,0
2025-10-01,Não inscrito,0
2025-10-02,Não inscrito,0
2025-10-03,Não inscrito,0
2025-10-04,Não inscrito,0
2025-10-05,Não inscrito,0
2025-10-06,Não inscrito,0
2025-10-07,Não inscrito,0
2025-10-08,Não inscrito,1157
2025-10-09,Não inscrito,1274
2025-10-10,Não inscrito,1162
